hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
0,0,0.0,1108.0383176282369
1,1,0.0,910.9479986947686
2,2,0.0,502.4819777128093
3,3,0.0,410.0653022494319
4,4,0.0,391.5418159693619
5,5,0.0,167.66328921581635
6,6,0.0,1194.1978606974792
7,7,144.01,774.111130383305
8,8,425.56,1609.3201061864415
9,9,835.21,967.7350888147298
10,10,868.39,318.9283451150033
11,11,962.95,344.151143276744
12,12,957.69,579.7649174346909
13,13,820.95,722.8559177444665
14,14,597.5,648.3104458764842
15,15,289.69,462.2634255966265
16,16,141.99,980.3449804784732
17,17,18.1,200.32997194316988
18,18,0.0,0.0
19,19,0.0,183.0914258078779
20,20,0.0,257.89524631457755
21,21,0.0,230.13986462788588
22,22,0.0,0.0
23,23,0.0,0.0
24,0,0.0,0.0
25,1,0.0,244.70475517736804
26,2,0.0,713.9704381095553
27,3,0.0,68.97161667303561
28,4,0.0,0.0
29,5,0.0,0.0
30,6,0.0,0.0
31,7,170.21,0.0
32,8,231.61,0.0
33,9,314.69,207.13864694364707
34,10,576.01,208.6794290856806
35,11,447.36,178.183296076089
36,12,736.9,69.28929312317717
37,13,1059.48,70.73858947154426
38,14,680.68,507.7138427398688
39,15,730.48,933.061037564722
40,16,439.11,1181.3410336996913
41,17,35.45,690.5364372086758
42,18,0.0,708.2092565666869
43,19,0.0,592.5353999191738
44,20,0.0,412.6657325596683
45,21,0.0,1298.424843520727
46,22,0.0,1478.7151393363197
47,23,0.0,829.9031472420604
48,0,0.0,597.3347708479257
49,1,0.0,336.9253901253684
50,2,0.0,469.49063373214295
51,3,0.0,462.715385147529
52,4,0.0,511.9448401986229
53,5,0.0,462.6329851735178
54,6,0.0,286.82052133150944
55,7,105.76,605.8252466440898
56,8,411.14,463.0574202294273
57,9,647.62,44.25001935581256
58,10,738.66,332.3903311070444
59,11,913.8,171.63450583345758
60,12,832.71,18.05085174575312
61,13,525.48,0.0
62,14,455.74,92.26584517165747
63,15,493.9,243.91114963279608
64,16,281.2,1383.3680774021304
65,17,5.03,1174.3396303798193
66,18,0.0,873.8165910413308
