hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
0,0,0.0,1108.0383176282367
1,1,0.0,910.9479986947686
2,2,0.0,502.4819777128093
3,3,0.0,410.0653022494319
4,4,0.0,391.5418159693619
5,5,0.0,167.66328921581635
6,6,0.0,1194.1978606974792
7,7,149.21694214876035,774.111130383305
8,8,440.76446280991735,1609.3201061864415
9,9,864.8553719008265,967.7350888147298
10,10,899.2148760330579,318.9283451150033
11,11,997.1900826446281,344.151143276744
12,12,991.7355371900827,579.7649174346909
13,13,850.0826446280992,722.8559177444665
14,14,618.8429752066116,648.3104458764842
15,15,300.06198347107437,462.2634255966265
16,16,147.12190082644628,980.3449804784732
17,17,18.94504132231405,200.32997194316988
18,18,0.0,0.0
19,19,0.0,183.0914258078779
20,20,0.0,257.89524631457755
21,21,0.0,230.13986462788588
22,22,0.0,0.0
23,23,0.0,0.0
24,0,0.0,0.0
25,1,0.0,244.70475517736804
26,2,0.0,713.9704381095553
27,3,0.0,68.97161667303561
28,4,0.0,0.0
29,5,0.0,0.0
30,6,0.0,0.0
31,7,176.36363636363637,0.0
32,8,239.93801652892563,0.0
33,9,325.90909090909093,207.13864694364707
34,10,596.5909090909091,208.6794290856806
35,11,463.34710743801656,178.183296076089
36,12,763.0165289256198,69.28929312317717
37,13,1085.392561983471,70.73858947154426
38,14,705.0,507.71384273986877
39,15,756.4256198347108,933.0610375647221
40,16,454.7933884297521,1181.3410336996913
41,17,36.91115702479339,690.5364372086758
42,18,0.0,708.2092565666869
43,19,0.0,592.5353999191738
44,20,0.0,412.6657325596683
45,21,0.0,1298.4248435207273
46,22,0.0,1478.7151393363195
47,23,0.0,829.9031472420604
48,0,0.0,597.3347708479257
49,1,0.0,336.9253901253684
50,2,0.0,469.49063373214295
51,3,0.0,462.715385147529
52,4,0.0,511.94484019862284
53,5,0.0,462.6329851735178
54,6,0.0,286.82052133150944
55,7,109.59710743801654,605.8252466440898
56,8,425.8264462809918,463.0574202294273
57,9,670.7644628099174,44.250019355812555
58,10,764.8553719008264,332.3903311070444
59,11,946.2603305785125,171.63450583345758
60,12,862.2520661157025,18.05085174575312
61,13,544.2561983471074,0.0
62,14,472.02479338842977,92.26584517165747
63,15,511.52892561983475,243.91114963279608
64,16,291.301652892562,1383.3680774021304
65,17,5.397520661157025,1174.3396303798193
66,18,0.0,873.8165910413308
67,19,0.0,1039.8567648376595
68,20,0.0,1857.594664628561
69,21,0.0,1450.6741806286461
70,22,0.0,1033.9193324721998
71,23,0.0,734.747612389802
72,0,0.0,715.2388004878744
73,1,0.0,424.38203069786135
74,2,0.0,355.12204394188706
75,3,0.0,392.9264632701395
