hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
0,0,0.0,1.45,1108.0383176282369,Anantapur,14.6819,77.6006
1,1,0.0,1.45,910.9479986947686,Anantapur,14.6819,77.6006
2,2,0.0,1.45,502.4819777128093,Anantapur,14.6819,77.6006
3,3,0.0,1.45,410.0653022494319,Anantapur,14.6819,77.6006
4,4,0.0,1.45,391.5418159693619,Anantapur,14.6819,77.6006
5,5,0.0,1.45,167.66328921581635,Anantapur,14.6819,77.6006
6,6,0.0,1.45,1194.1978606974792,Anantapur,14.6819,77.6006
7,7,149.21694214876035,1.45,774.111130383305,Anantapur,14.6819,77.6006
8,8,440.76446280991735,1.45,1609.3201061864415,Anantapur,14.6819,77.6006
9,9,864.8553719008265,1.45,967.7350888147298,Anantapur,14.6819,77.6006
10,10,899.2148760330579,1.45,318.9283451150033,Anantapur,14.6819,77.6006
11,11,997.190082644628,1.45,344.151143276744,Anantapur,14.6819,77.6006
12,12,991.7355371900828,1.45,579.7649174346909,Anantapur,14.6819,77.6006
13,13,850.0826446280992,1.45,722.8559177444665,Anantapur,14.6819,77.6006
14,14,618.8429752066116,1.45,648.3104458764842,Anantapur,14.6819,77.6006
15,15,300.0619834710744,1.45,462.2634255966265,Anantapur,14.6819,77.6006
16,16,147.12190082644628,1.45,980.3449804784732,Anantapur,14.6819,77.6006
17,17,18.94504132231405,1.45,200.32997194316988,Anantapur,14.6819,77.6006
18,18,0.0,1.45,0.0,Anantapur,14.6819,77.6006
19,19,0.0,1.45,183.0914258078779,Anantapur,14.6819,77.6006
20,20,0.0,1.45,257.89524631457755,Anantapur,14.6819,77.6006
21,21,0.0,1.45,230.13986462788588,Anantapur,14.6819,77.6006
22,22,0.0,1.45,0.0,Anantapur,14.6819,77.6006
23,23,0.0,1.45,0.0,Anantapur,14.6819,77.6006
24,0,0.0,1.45,0.0,Anantapur,14.6819,77.6006
25,1,0.0,1.45,244.70475517736804,Anantapur,14.6819,77.6006
26,2,0.0,1.45,713.9704381095553,Anantapur,14.6819,77.6006
