hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
0,0,0.0,1.4,1108.0383176282369,Coimbatore,11.0168,76.9558
1,1,0.0,1.4,910.9479986947686,Coimbatore,11.0168,76.9558
2,2,0.0,1.4,502.4819777128093,Coimbatore,11.0168,76.9558
3,3,0.0,1.4,410.0653022494319,Coimbatore,11.0168,76.9558
4,4,0.0,1.4,391.5418159693619,Coimbatore,11.0168,76.9558
5,5,0.0,1.4,167.66328921581635,Coimbatore,11.0168,76.9558
6,6,0.0,1.4,1194.1978606974792,Coimbatore,11.0168,76.9558
7,7,144.01,1.4,774.111130383305,Coimbatore,11.0168,76.9558
8,8,425.56,1.4,1609.3201061864415,Coimbatore,11.0168,76.9558
9,9,835.21,1.4,967.7350888147298,Coimbatore,11.0168,76.9558
10,10,868.39,1.4,318.9283451150033,Coimbatore,11.0168,76.9558
11,11,962.95,1.4,344.151143276744,Coimbatore,11.0168,76.9558
12,12,957.69,1.4,579.7649174346909,Coimbatore,11.0168,76.9558
13,13,820.95,1.4,722.8559177444665,Coimbatore,11.0168,76.9558
14,14,597.5,1.4,648.3104458764842,Coimbatore,11.0168,76.9558
15,15,289.69,1.4,462.2634255966265,Coimbatore,11.0168,76.9558
16,16,141.99,1.4,980.3449804784732,Coimbatore,11.0168,76.9558
17,17,18.1,1.4,200.32997194316988,Coimbatore,11.0168,76.9558
18,18,0.0,1.4,0.0,Coimbatore,11.0168,76.9558
19,19,0.0,1.4,183.0914258078779,Coimbatore,11.0168,76.9558
20,20,0.0,1.4,257.89524631457755,Coimbatore,11.0168,76.9558
21,21,0.0,1.4,230.13986462788588,Coimbatore,11.0168,76.9558
22,22,0.0,1.4,0.0,Coimbatore,11.0168,76.9558
23,23,0.0,1.4,0.0,Coimbatore,11.0168,76.9558
24,0,0.0,1.4,0.0,Coimbatore,11.0168,76.9558
25,1,0.0,1.4,244.70475517736804,Coimbatore,11.0168,76.9558
26,2,0.0,1.4,713.9704381095553,Coimbatore,11.0168,76.9558
27,3,0.0,1.4,68.97161667303561,Coimbatore,11.0168,76.9558
28,4,0.0,1.4,0.0,Coimbatore,11.0168,76.9558
29,5,0.0,1.4,0.0,Coimbatore,11.0168,76.9558
30,6,0.0,1.4,0.0,Coimbatore,11.0168,76.9558
31,7,170.21,1.4,0.0,Coimbatore,11.0168,76.9558
32,8,231.61,1.4,0.0,Coimbatore,11.0168,76.9558
33,9,314.69,1.4,207.13864694364707,Coimbatore,11.0168,76.9558
34,10,576.01,1.4,208.6794290856806,Coimbatore,11.0168,76.9558
35,11,447.36,1.4,178.183296076089,Coimbatore,11.0168,76.9558
36,12,736.9,1.4,69.28929312317717,Coimbatore,11.0168,76.9558
37,13,1059.48,1.4,70.73858947154426,Coimbatore,11.0168,76.9558
38,14,680.68,1.4,507.7138427398688,Coimbatore,11.0168,76.9558
39,15,730.48,1.4,933.061037564722,Coimbatore,11.0168,76.9558
40,16,439.11,1.4,1181.3410336996913,Coimbatore,11.0168,76.9558
41,17,35.45,1.4,690.5364372086758,Coimbatore,11.0168,76.9558
42,18,0.0,1.4,708.2092565666869,Coimbatore,11.0168,76.9558
43,19,0.0,1.4,592.5353999191738,Coimbatore,11.0168,76.9558
44,20,0.0,1.4,412.6657325596683,Coimbatore,11.0168,76.9558
45,21,0.0,1.4,1298.424843520727,Coimbatore,11.0168,76.9558
46,22,0.0,1.4,1478.7151393363197,Coimbatore,11.0168,76.9558
47,23,0.0,1.4,829.9031472420604,Coimbatore,11.0168,76.9558
48,0,0.0,1.4,597.3347708479257,Coimbatore,11.0168,76.9558
49,1,0.0,1.4,336.9253901253684,Coimbatore,11.0168,76.9558
50,2,0.0,1.4,469.49063373214295,Coimbatore,11.0168,76.9558
51,3,0.0,1.4,462.715385147529,Coimbatore,11.0168,76.9558
52,4,0.0,1.4,511.9448401986229,Coimbatore,11.0168,76.9558
53,5,0.0,1.4,462.6329851735178,Coimbatore,11.0168,76.9558
54,6,0.0,1.4,286.82052133150944,Coimbatore,11.0168,76.9558
55,7,105.76,1.4,605.8252466440898,Coimbatore,11.0168,76.9558
56,8,411.14,1.4,463.0574202294273,Coimbatore,11.0168,76.9558
57,9,647.62,1.4,44.25001935581256,Coimbatore,11.0168,76.9558
58,10,738.66,1.4,332.3903311070444,Coimbatore,11.0168,76.9558
59,11,913.8,1.4,171.63450583345758,Coimbatore,11.0168,76.9558
60,12,832.71,1.4,18.05085174575312,Coimbatore,11.0168,76.9558
61,13,525.48,1.4,0.0,Coimbatore,11.0168,76.9558
62,14,455.74,1.4,92.26584517165747,Coimbatore,11.0168,76.9558
63,15,493.9,1.4,243.91114963279608,Coimbatore,11.0168,76.9558
