hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
0,0,0.0,1.4,1108.0383176282369,Jodhpur,26.2389,73.0243
1,1,0.0,1.4,910.9479986947686,Jodhpur,26.2389,73.0243
2,2,0.0,1.4,502.4819777128093,Jodhpur,26.2389,73.0243
3,3,0.0,1.4,410.0653022494319,Jodhpur,26.2389,73.0243
4,4,0.0,1.4,391.5418159693619,Jodhpur,26.2389,73.0243
5,5,0.0,1.4,167.66328921581635,Jodhpur,26.2389,73.0243
6,6,0.0,1.4,1194.1978606974792,Jodhpur,26.2389,73.0243
7,7,144.01,1.4,774.111130383305,Jodhpur,26.2389,73.0243
8,8,425.56,1.4,1609.3201061864415,Jodhpur,26.2389,73.0243
9,9,835.21,1.4,967.7350888147298,Jodhpur,26.2389,73.0243
10,10,868.39,1.4,318.9283451150033,Jodhpur,26.2389,73.0243
11,11,962.95,1.4,344.151143276744,Jodhpur,26.2389,73.0243
12,12,957.69,1.4,579.7649174346909,Jodhpur,26.2389,73.0243
13,13,820.95,1.4,722.8559177444665,Jodhpur,26.2389,73.0243
14,14,597.5,1.4,648.3104458764842,Jodhpur,26.2389,73.0243
15,15,289.69,1.4,462.2634255966265,Jodhpur,26.2389,73.0243
16,16,141.99,1.4,980.3449804784732,Jodhpur,26.2389,73.0243
17,17,18.1,1.4,200.32997194316988,Jodhpur,26.2389,73.0243
18,18,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
19,19,0.0,1.4,183.0914258078779,Jodhpur,26.2389,73.0243
20,20,0.0,1.4,257.89524631457755,Jodhpur,26.2389,73.0243
21,21,0.0,1.4,230.13986462788588,Jodhpur,26.2389,73.0243
22,22,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
23,23,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
24,0,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
25,1,0.0,1.4,244.70475517736804,Jodhpur,26.2389,73.0243
26,2,0.0,1.4,713.9704381095553,Jodhpur,26.2389,73.0243
27,3,0.0,1.4,68.97161667303561,Jodhpur,26.2389,73.0243
28,4,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
29,5,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
30,6,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
31,7,170.21,1.4,0.0,Jodhpur,26.2389,73.0243
32,8,231.61,1.4,0.0,Jodhpur,26.2389,73.0243
33,9,314.69,1.4,207.13864694364707,Jodhpur,26.2389,73.0243
34,10,576.01,1.4,208.6794290856806,Jodhpur,26.2389,73.0243
35,11,447.36,1.4,178.183296076089,Jodhpur,26.2389,73.0243
36,12,736.9,1.4,69.28929312317717,Jodhpur,26.2389,73.0243
37,13,1059.48,1.4,70.73858947154426,Jodhpur,26.2389,73.0243
38,14,680.68,1.4,507.7138427398688,Jodhpur,26.2389,73.0243
39,15,730.48,1.4,933.061037564722,Jodhpur,26.2389,73.0243
40,16,439.11,1.4,1181.3410336996913,Jodhpur,26.2389,73.0243
41,17,35.45,1.4,690.5364372086758,Jodhpur,26.2389,73.0243
42,18,0.0,1.4,708.2092565666869,Jodhpur,26.2389,73.0243
43,19,0.0,1.4,592.5353999191738,Jodhpur,26.2389,73.0243
44,20,0.0,1.4,412.6657325596683,Jodhpur,26.2389,73.0243
45,21,0.0,1.4,1298.424843520727,Jodhpur,26.2389,73.0243
46,22,0.0,1.4,1478.7151393363197,Jodhpur,26.2389,73.0243
47,23,0.0,1.4,829.9031472420604,Jodhpur,26.2389,73.0243
48,0,0.0,1.4,597.3347708479257,Jodhpur,26.2389,73.0243
49,1,0.0,1.4,336.9253901253684,Jodhpur,26.2389,73.0243
50,2,0.0,1.4,469.49063373214295,Jodhpur,26.2389,73.0243
51,3,0.0,1.4,462.715385147529,Jodhpur,26.2389,73.0243
52,4,0.0,1.4,511.9448401986229,Jodhpur,26.2389,73.0243
53,5,0.0,1.4,462.6329851735178,Jodhpur,26.2389,73.0243
54,6,0.0,1.4,286.82052133150944,Jodhpur,26.2389,73.0243
55,7,105.76,1.4,605.8252466440898,Jodhpur,26.2389,73.0243
