hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
0,0,0.0,1.4,1108.0383176282369,Nellore,14.4426,79.9865
1,1,0.0,1.4,910.9479986947686,Nellore,14.4426,79.9865
2,2,0.0,1.4,502.4819777128093,Nellore,14.4426,79.9865
3,3,0.0,1.4,410.0653022494319,Nellore,14.4426,79.9865
4,4,0.0,1.4,391.5418159693619,Nellore,14.4426,79.9865
5,5,0.0,1.4,167.66328921581635,Nellore,14.4426,79.9865
6,6,0.0,1.4,1194.1978606974792,Nellore,14.4426,79.9865
7,7,144.01,1.4,774.111130383305,Nellore,14.4426,79.9865
8,8,425.56,1.4,1609.3201061864415,Nellore,14.4426,79.9865
9,9,835.21,1.4,967.7350888147298,Nellore,14.4426,79.9865
10,10,868.39,1.4,318.9283451150033,Nellore,14.4426,79.9865
11,11,962.95,1.4,344.151143276744,Nellore,14.4426,79.9865
12,12,957.69,1.4,579.7649174346909,Nellore,14.4426,79.9865
13,13,820.95,1.4,722.8559177444665,Nellore,14.4426,79.9865
14,14,597.5,1.4,648.3104458764842,Nellore,14.4426,79.9865
15,15,289.69,1.4,462.2634255966265,Nellore,14.4426,79.9865
16,16,141.99,1.4,980.3449804784732,Nellore,14.4426,79.9865
17,17,18.1,1.4,200.32997194316988,Nellore,14.4426,79.9865
18,18,0.0,1.4,0.0,Nellore,14.4426,79.9865
19,19,0.0,1.4,183.0914258078779,Nellore,14.4426,79.9865
20,20,0.0,1.4,257.89524631457755,Nellore,14.4426,79.9865
21,21,0.0,1.4,230.13986462788588,Nellore,14.4426,79.9865
22,22,0.0,1.4,0.0,Nellore,14.4426,79.9865
23,23,0.0,1.4,0.0,Nellore,14.4426,79.9865
24,0,0.0,1.4,0.0,Nellore,14.4426,79.9865
25,1,0.0,1.4,244.70475517736804,Nellore,14.4426,79.9865
26,2,0.0,1.4,713.9704381095553,Nellore,14.4426,79.9865
27,3,0.0,1.4,68.97161667303561,Nellore,14.4426,79.9865
28,4,0.0,1.4,0.0,Nellore,14.4426,79.9865
29,5,0.0,1.4,0.0,Nellore,14.4426,79.9865
30,6,0.0,1.4,0.0,Nellore,14.4426,79.9865
31,7,170.21,1.4,0.0,Nellore,14.4426,79.9865
32,8,231.61,1.4,0.0,Nellore,14.4426,79.9865
33,9,314.69,1.4,207.13864694364707,Nellore,14.4426,79.9865
34,10,576.01,1.4,208.6794290856806,Nellore,14.4426,79.9865
35,11,447.36,1.4,178.183296076089,Nellore,14.4426,79.9865
36,12,736.9,1.4,69.28929312317717,Nellore,14.4426,79.9865
37,13,1059.48,1.4,70.73858947154426,Nellore,14.4426,79.9865
38,14,680.68,1.4,507.7138427398688,Nellore,14.4426,79.9865
39,15,730.48,1.4,933.061037564722,Nellore,14.4426,79.9865
40,16,439.11,1.4,1181.3410336996913,Nellore,14.4426,79.9865
41,17,35.45,1.4,690.5364372086758,Nellore,14.4426,79.9865
42,18,0.0,1.4,708.2092565666869,Nellore,14.4426,79.9865
43,19,0.0,1.4,592.5353999191738,Nellore,14.4426,79.9865
44,20,0.0,1.4,412.6657325596683,Nellore,14.4426,79.9865
45,21,0.0,1.4,1298.424843520727,Nellore,14.4426,79.9865
46,22,0.0,1.4,1478.7151393363197,Nellore,14.4426,79.9865
47,23,0.0,1.4,829.9031472420604,Nellore,14.4426,79.9865
48,0,0.0,1.4,597.3347708479257,Nellore,14.4426,79.9865
49,1,0.0,1.4,336.9253901253684,Nellore,14.4426,79.9865
50,2,0.0,1.4,469.49063373214295,Nellore,14.4426,79.9865
51,3,0.0,1.4,462.715385147529,Nellore,14.4426,79.9865
52,4,0.0,1.4,511.9448401986229,Nellore,14.4426,79.9865
53,5,0.0,1.4,462.6329851735178,Nellore,14.4426,79.9865
54,6,0.0,1.4,286.82052133150944,Nellore,14.4426,79.9865
55,7,105.76,1.4,605.8252466440898,Nellore,14.4426,79.9865
56,8,411.14,1.4,463.0574202294273,Nellore,14.4426,79.9865
57,9,647.62,1.4,44.25001935581256,Nellore,14.4426,79.9865
58,10,738.66,1.4,332.3903311070444,Nellore,14.4426,79.9865
59,11,913.8,1.4,171.63450583345758,Nellore,14.4426,79.9865
60,12,832.71,1.4,18.05085174575312,Nellore,14.4426,79.9865
61,13,525.48,1.4,0.0,Nellore,14.4426,79.9865
62,14,455.74,1.4,92.26584517165747,Nellore,14.4426,79.9865
63,15,493.9,1.4,243.91114963279608,Nellore,14.4426,79.9865
64,16,281.2,1.4,1383.3680774021304,Nellore,14.4426,79.9865
65,17,5.03,1.4,1174.3396303798193,Nellore,14.4426,79.9865
66,18,0.0,1.4,873.8165910413308,Nellore,14.4426,79.9865
67,19,0.0,1.4,1039.8567648376595,Nellore,14.4426,79.9865
68,20,0.0,1.4,1857.594664628561,Nellore,14.4426,79.9865
69,21,0.0,1.4,1450.674180628646,Nellore,14.4426,79.9865
70,22,0.0,1.4,1033.9193324721998,Nellore,14.4426,79.9865
71,23,0.0,1.4,734.747612389802,Nellore,14.4426,79.9865
72,0,0.0,1.4,715.2388004878744,Nellore,14.4426,79.9865
73,1,0.0,1.4,424.38203069786135,Nellore,14.4426,79.9865
74,2,0.0,1.4,355.12204394188706,Nellore,14.4426,79.9865
75,3,0.0,1.4,392.9264632701395,Nellore,14.4426,79.9865
76,4,0.0,1.4,0.0,Nellore,14.4426,79.9865
77,5,0.0,1.4,136.31339566304257,Nellore,14.4426,79.9865
78,6,0.0,1.4,0.0,Nellore,14.4426,79.9865
79,7,134.52,1.4,0.0,Nellore,14.4426,79.9865
80,8,440.41,1.4,0.0,Nellore,14.4426,79.9865
81,9,729.38,1.4,171.49988550291428,Nellore,14.4426,79.9865
82,10,903.26,1.4,272.1140248489531,Nellore,14.4426,79.9865
83,11,1001.94,1.4,358.7115001589926,Nellore,14.4426,79.9865
84,12,1038.29,1.4,1205.7831206847768,Nellore,14.4426,79.9865
85,13,995.04,1.4,1271.2147001918872,Nellore,14.4426,79.9865
86,14,881.2,1.4,900.6280778083017,Nellore,14.4426,79.9865
